rocmfpx-plugin: info: registered 1 ROCmFPX Vulkan device(s)
rocmfpx-plugin: info: loaded rocmfpx-vulkan-charlie 0.1.0 from /home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/builds/rocmfpx-vulkan-gfx1032-cm1/bin/rocmfpx-vulkan-plugin.so
0.00.080.786 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.080.965 W srv  llama_server: -----------------
0.00.080.967 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.080.968 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.080.968 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.080.968 W srv  llama_server: -----------------
0.00.082.252 I srv    load_model: loading model 'work/results/models/LFM2.5-2.6B-ROCmFPX-Q2.gguf'
0.03.634.460 I cmn          init: llama threadpool init, n_threads = 4
0.03.701.337 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 1024, kv_unified = 'false'
0.03.701.383 W srv    load_model: LLAMA_SERVER_COMPACT_SLOTS = 1
0.03.706.215 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.03.706.250 I srv  llama_server: model loaded
0.03.706.255 I srv  llama_server: listening on http://127.0.0.1:18063
0.10.783.850 I slot get_availabl: id  0 | task -1 | selected lowest available slot (compact policy)
0.20.874.452 I slot print_timing: id  0 | task 265 |       total time =     529.12 ms /   192 tokens
0.20.874.454 I slot print_timing: id  0 | task 265 |    graphs reused =        311
0.20.874.485 I slot      release: id  0 | task 265 | stop processing: n_tokens = 191, truncated = 0
0.20.878.512 I slot get_availabl: id  0 | task -1 | selected lowest available slot (compact policy)
0.20.878.547 I slot launch_slot_: id  0 | task 331 | processing task, is_child = 0
0.20.882.741 I slot get_availabl: id  1 | task -1 | selected lowest available slot (compact policy)
0.20.882.767 I slot launch_slot_: id  1 | task 334 | processing task, is_child = 0
0.20.882.769 I slot get_availabl: id  2 | task -1 | selected lowest available slot (compact policy)
0.20.882.778 I slot launch_slot_: id  2 | task 332 | processing task, is_child = 0
0.20.882.779 I slot get_availabl: id  3 | task -1 | selected lowest available slot (compact policy)
0.20.882.789 I slot launch_slot_: id  3 | task 335 | processing task, is_child = 0
0.22.068.995 I slot print_timing: id  0 | task 331 | prompt eval time =     513.00 ms /   128 tokens (    4.01 ms per token,   249.51 tokens per second)
0.22.069.001 I slot print_timing: id  0 | task 331 |        eval time =     677.41 ms /    64 tokens (   10.75 ms per token,    93.00 tokens per second)
0.22.069.002 I slot print_timing: id  0 | task 331 |       total time =    1190.42 ms /   192 tokens
0.22.069.003 I slot print_timing: id  0 | task 331 |    graphs reused =        373
0.22.069.044 I slot      release: id  0 | task 331 | stop processing: n_tokens = 191, truncated = 0
0.22.079.457 I slot print_timing: id  1 | task 334 | prompt eval time =     470.25 ms /   128 tokens (    3.67 ms per token,   272.20 tokens per second)
0.22.079.469 I slot print_timing: id  1 | task 334 |        eval time =     627.51 ms /    64 tokens (    9.96 ms per token,   100.40 tokens per second)
0.22.079.472 I slot print_timing: id  1 | task 334 |       total time =    1097.76 ms /   192 tokens
0.22.079.477 I slot print_timing: id  1 | task 334 |    graphs reused =        373
0.22.079.549 I slot      release: id  1 | task 334 | stop processing: n_tokens = 191, truncated = 0
0.22.079.963 I slot print_timing: id  2 | task 332 | prompt eval time =     470.59 ms /   128 tokens (    3.68 ms per token,   272.00 tokens per second)
0.22.079.975 I slot print_timing: id  2 | task 332 |        eval time =     627.67 ms /    64 tokens (    9.96 ms per token,   100.37 tokens per second)
0.22.079.976 I slot print_timing: id  2 | task 332 |       total time =    1098.25 ms /   192 tokens
0.22.079.977 I slot print_timing: id  2 | task 332 |    graphs reused =        373
0.22.080.010 I slot      release: id  2 | task 332 | stop processing: n_tokens = 191, truncated = 0
0.22.080.429 I slot print_timing: id  3 | task 335 | prompt eval time =     471.03 ms /   128 tokens (    3.68 ms per token,   271.75 tokens per second)
0.22.080.434 I slot print_timing: id  3 | task 335 |        eval time =     627.68 ms /    64 tokens (    9.96 ms per token,   100.37 tokens per second)
0.22.080.435 I slot print_timing: id  3 | task 335 |       total time =    1098.71 ms /   192 tokens
0.22.080.436 I slot print_timing: id  3 | task 335 |    graphs reused =        373
0.22.080.462 I slot      release: id  3 | task 335 | stop processing: n_tokens = 191, truncated = 0
0.22.085.064 I slot get_availabl: id  0 | task -1 | selected lowest available slot (compact policy)
0.22.085.095 I slot launch_slot_: id  0 | task 401 | processing task, is_child = 0
0.22.096.516 I slot get_availabl: id  1 | task -1 | selected lowest available slot (compact policy)
0.22.096.552 I slot launch_slot_: id  1 | task 403 | processing task, is_child = 0
0.22.096.596 I slot get_availabl: id  2 | task -1 | selected lowest available slot (compact policy)
0.22.096.611 I slot launch_slot_: id  2 | task 402 | processing task, is_child = 0
0.22.096.632 I slot get_availabl: id  3 | task -1 | selected lowest available slot (compact policy)
0.22.096.646 I slot launch_slot_: id  3 | task 404 | processing task, is_child = 0
0.23.212.620 I slot print_timing: id  0 | task 401 | prompt eval time =     484.86 ms /   128 tokens (    3.79 ms per token,   263.99 tokens per second)
0.23.212.628 I slot print_timing: id  0 | task 401 |        eval time =     631.08 ms /    64 tokens (   10.02 ms per token,    99.83 tokens per second)
0.23.212.629 I slot print_timing: id  0 | task 401 |       total time =    1115.94 ms /   192 tokens
0.23.212.632 I slot print_timing: id  0 | task 401 |    graphs reused =        436
0.23.212.675 I slot      release: id  0 | task 401 | stop processing: n_tokens = 191, truncated = 0
0.23.212.994 I slot print_timing: id  1 | task 403 | prompt eval time =     485.47 ms /   128 tokens (    3.79 ms per token,   263.66 tokens per second)
0.23.213.003 I slot print_timing: id  1 | task 403 |        eval time =     630.79 ms /    64 tokens (   10.01 ms per token,    99.87 tokens per second)
0.23.213.004 I slot print_timing: id  1 | task 403 |       total time =    1116.27 ms /   192 tokens
0.23.213.006 I slot print_timing: id  1 | task 403 |    graphs reused =        436
0.23.213.032 I slot      release: id  1 | task 403 | stop processing: n_tokens = 191, truncated = 0
0.23.213.427 I slot print_timing: id  2 | task 402 | prompt eval time =     486.09 ms /   128 tokens (    3.80 ms per token,   263.33 tokens per second)
0.23.213.434 I slot print_timing: id  2 | task 402 |        eval time =     630.55 ms /    64 tokens (   10.01 ms per token,    99.91 tokens per second)
0.23.213.435 I slot print_timing: id  2 | task 402 |       total time =    1116.64 ms /   192 tokens
0.23.213.436 I slot print_timing: id  2 | task 402 |    graphs reused =        436
0.23.213.459 I slot      release: id  2 | task 402 | stop processing: n_tokens = 191, truncated = 0
0.23.213.834 I slot print_timing: id  3 | task 404 | prompt eval time =     486.66 ms /   128 tokens (    3.80 ms per token,   263.02 tokens per second)
0.23.213.838 I slot print_timing: id  3 | task 404 |        eval time =     630.35 ms /    64 tokens (   10.01 ms per token,    99.94 tokens per second)
0.23.213.839 I slot print_timing: id  3 | task 404 |       total time =    1117.02 ms /   192 tokens
0.23.213.840 I slot print_timing: id  3 | task 404 |    graphs reused =        436
0.23.213.861 I slot      release: id  3 | task 404 | stop processing: n_tokens = 191, truncated = 0
0.23.219.353 I slot get_availabl: id  0 | task -1 | selected lowest available slot (compact policy)
0.23.219.419 I slot launch_slot_: id  0 | task 470 | processing task, is_child = 0
0.23.231.533 I slot get_availabl: id  1 | task -1 | selected lowest available slot (compact policy)
0.23.231.573 I slot launch_slot_: id  1 | task 471 | processing task, is_child = 0
0.23.231.628 I slot get_availabl: id  2 | task -1 | selected lowest available slot (compact policy)
0.23.231.643 I slot launch_slot_: id  2 | task 472 | processing task, is_child = 0
0.23.231.663 I slot get_availabl: id  3 | task -1 | selected lowest available slot (compact policy)
0.23.231.678 I slot launch_slot_: id  3 | task 473 | processing task, is_child = 0
0.24.356.707 I slot print_timing: id  0 | task 470 | prompt eval time =     491.87 ms /   128 tokens (    3.84 ms per token,   260.23 tokens per second)
0.24.356.713 I slot print_timing: id  0 | task 470 |        eval time =     633.13 ms /    64 tokens (   10.05 ms per token,    99.51 tokens per second)
0.24.356.714 I slot print_timing: id  0 | task 470 |       total time =    1124.99 ms /   192 tokens
0.24.356.715 I slot print_timing: id  0 | task 470 |    graphs reused =        499
0.24.356.752 I slot      release: id  0 | task 470 | stop processing: n_tokens = 191, truncated = 0
0.24.357.029 I slot print_timing: id  1 | task 471 | prompt eval time =     492.13 ms /   128 tokens (    3.84 ms per token,   260.09 tokens per second)
0.24.357.033 I slot print_timing: id  1 | task 471 |        eval time =     633.11 ms /    64 tokens (   10.05 ms per token,    99.51 tokens per second)
0.24.357.034 I slot print_timing: id  1 | task 471 |       total time =    1125.24 ms /   192 tokens
0.24.357.034 I slot print_timing: id  1 | task 471 |    graphs reused =        499
0.24.357.053 I slot      release: id  1 | task 471 | stop processing: n_tokens = 191, truncated = 0
0.24.357.296 I slot print_timing: id  2 | task 472 | prompt eval time =     492.41 ms /   128 tokens (    3.85 ms per token,   259.95 tokens per second)
0.24.357.299 I slot print_timing: id  2 | task 472 |        eval time =     633.03 ms /    64 tokens (   10.05 ms per token,    99.52 tokens per second)
0.24.357.300 I slot print_timing: id  2 | task 472 |       total time =    1125.44 ms /   192 tokens
0.24.357.301 I slot print_timing: id  2 | task 472 |    graphs reused =        499
0.24.357.320 I slot      release: id  2 | task 472 | stop processing: n_tokens = 191, truncated = 0
0.24.357.629 I slot print_timing: id  3 | task 473 | prompt eval time =     492.78 ms /   128 tokens (    3.85 ms per token,   259.75 tokens per second)
0.24.357.632 I slot print_timing: id  3 | task 473 |        eval time =     632.95 ms /    64 tokens (   10.05 ms per token,    99.53 tokens per second)
0.24.357.633 I slot print_timing: id  3 | task 473 |       total time =    1125.73 ms /   192 tokens
0.24.357.633 I slot print_timing: id  3 | task 473 |    graphs reused =        499
0.24.357.647 I slot      release: id  3 | task 473 | stop processing: n_tokens = 191, truncated = 0
0.25.407.506 I srv    operator(): operator(): cleaning up before exit...
